Item Code,Item Name,Profile Name,Item Type,UNIT WEIGHT,U.O.M (NAME),U.O.M (SYMBOL),BRAND,BRAND SECTOR,MANUFACTURER,Category,Sub-Category,Generic Name,Formulation,Route,Instructions,Packing Quantity,Preferred Supplier,Order Category,UNIT PURCHASE PRICE,UNIT SALE PRICE,PACK PURCHASE PRICE,PACK SALE PRICE,STATUS,REORDER POINT,UNIT LOCATION
7SDM001,Minocycline,PATHOLOGY,OTHERS,0,Pieces,Pieces,Minocycline,Minocycline,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Inactive,,
7SDM002,Methicillin Discs,PATHOLOGY,OTHERS,0,Pieces,Pieces,Methicillin Discs,Methicillin Discs,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,440,0,440,440,Active,,
7SDN001,Nalidixic acid Disks,PATHOLOGY,OTHERS,0,Pieces,Pieces,Nalidixic acid Disks,Nalidixic acid Disks,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,440,0,440,440,Active,,
7SDN002,Netilmycin,PATHOLOGY,OTHERS,0,Pieces,Pieces,Netilmycin,Netilmycin,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,450,0,450,450,Inactive,,
7SDN003,Nitrofurantoin Disks,PATHOLOGY,OTHERS,0,Pieces,Pieces,Nitrofurantoin Disks,Nitrofurantoin Disks,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,440,0,440,440,Active,,
7SDN004,Norfloxacin Disks,PATHOLOGY,OTHERS,0,Pieces,Pieces,Norfloxacin Disks,Norfloxacin Disks,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,100,,Pathology,440,0,440,440,Active,,
7SDN005,Novobiocin Disks,PATHOLOGY,OTHERS,0,Pieces,Pieces,Novobiocin Disks,Novobiocin Disks,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7SDO001,Oxacilin (methicillin),PATHOLOGY,OTHERS,0,Pieces,Pieces,Oxacilin (methicillin),Oxacilin (methicillin),SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Inactive,,
7SDO002,Optochin Disks,PATHOLOGY,OTHERS,0,Pieces,Pieces,Optochin Disks,Optochin Disks,SANOFI PASTEUR,N/A,Unknown,,,,,100,,Pathology,1400,0,1400,1400,Active,,
7SDO002b,Optochin,PATHOLOGY,OTHERS,0,Pieces,Pieces,Optochin,Optochin,SANOFI PASTEUR,N/A,Unknown,,,,,0,,Pathology,0,0,0,0,Active,,
7SDP001,Penicillin G Disks,PATHOLOGY,OTHERS,0,Pieces,Pieces,Penicillin G Disks,Penicillin G Disks,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,450,0,450,450,Active,,
7SDP002,Piperacillin Disks,PATHOLOGY,OTHERS,0,Pieces,Pieces,Piperacillin Disks,Piperacillin Disks,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Inactive,,
7SDR001,Rifampicin,PATHOLOGY,OTHERS,0,Pieces,Pieces,Rifampicin,Rifampicin,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,400,0,400,400,Active,,
7SDS001,Spectinomycin,PATHOLOGY,OTHERS,0,Pieces,Pieces,Spectinomycin,Spectinomycin,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7SDT001,Tetracycline,PATHOLOGY,OTHERS,0,Pieces,Pieces,Tetracycline,Tetracycline,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,400,0,400,400,Active,,
7SDV001,V-factor,PATHOLOGY,OTHERS,0,Pieces,Pieces,V-factor,V-factor,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7SDV002,VANCOMYCIN,PATHOLOGY,OTHERS,0,Pieces,Pieces,VANCOMYCIN,VANCOMYCIN,SANOFI PASTEUR,N/A,Lab-reagent,,,,,1,,Pathology,400,0,400,400,Active,,
7SDX001,X and V factor,PATHOLOGY,OTHERS,0,Pieces,Pieces,X and V factor,X and V factor,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7TK0001,Malaria RDTs,PATHOLOGY,OTHERS,0,Pieces,Pieces,Malaria RDTs,Malaria RDTs,SANOFI PASTEUR,N/A,Lab-reagent,,,,,1,,Laboratory,3200,3500,3200,3200,Active,,
7TKA001,Api 20E kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Api 20E kit,Api 20E kit,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,9600,0,9600,9600,Active,,
7TKA001A,Albumin Reagent Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Albumin Reagent Kit,Albumin Reagent Kit,GLAXOSMITHKLINE,N/A,Lab-reagent,,,,,1,,Laboratory,1950,0,1950,1950,Active,,
7TKA002,Alkaline Phospahtase Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Alkaline Phospahtase Kit,Alkaline Phospahtase Kit,GLAXOSMITHKLINE,N/A,Lab-reagent,,,,,1,,Pathology,4406,0,4406,4406,Active,,
7TKB001,Total Bilirubiun Reagent Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Total Bilirubiun Reagent Kit,Total Bilirubiun Reagent Kit,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,5748,0,5748,5748,Active,,
7TKB002,Direct Bilirubin Reagent Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Direct Bilirubin Reagent Kit,Direct Bilirubin Reagent Kit,NJIMIA PHARMACEUTICALS,N/A,Lab-reagent,,,,,1,,Pathology,5432,0,5432,5432,Active,,
7TKC001A,Creatinine strips,PATHOLOGY,OTHERS,0,Pieces,Pieces,Creatinine strips,Creatinine strips,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Inactive,,
7TKC001B,Creatinine Reagent Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Creatinine Reagent Kit,Creatinine Reagent Kit,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,5001,0,5001,5001,Active,,
7TKC002,Cholesterol Total Reagent Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Cholesterol Total Reagent Kit,Cholesterol Total Reagent Kit,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,4938,0,4938,4938,Active,,
7TKC003,Chloride Electrode - Cobas AVL9180,PATHOLOGY,OTHERS,0,Pieces,Pieces,Chloride Electrode - Cobas AVL9180,Chloride Electrode - Cobas AVL9180,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,25550,0,25550,25550,Active,,
7TKD001,Determine HIV strips,PATHOLOGY,OTHERS,,Pieces,Pieces,Determine HIV strips,Determine HIV strips,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1000,0,1000,1000,Active,,
7TKE001,Elisa Kit (Vironostika),PATHOLOGY,OTHERS,0,Pieces,Pieces,Elisa Kit (Vironostika),Elisa Kit (Vironostika),GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,27300,0,27300,27300,Inactive,,
7TKG001,Glucose strips - Accucheck,PATHOLOGY,OTHERS,0,Pieces,Pieces,Glucose strips - Accucheck,Glucose strips - Accucheck,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,50,0,0,Active,,
7TKG002,Glucose test kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Glucose test kit,Glucose test kit,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,5000,2500,5000,5000,Active,,
7TKG003,"GPT strips, Reflotron",PATHOLOGY,OTHERS,0,Pieces,Pieces,"GPT strips, Reflotron","GPT strips, Reflotron",NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7TKG003A,GPT/ALT Reagent KIt,PATHOLOGY,OTHERS,0,Pieces,Pieces,GPT/ALT Reagent KIt,GPT/ALT Reagent KIt,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,4596,0,4596,4596,Active,,
7TKG004A,SGOT strips,PATHOLOGY,OTHERS,0,Pieces,Pieces,SGOT strips,SGOT strips,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7TKG004B,SGOT reagent (AST),PATHOLOGY,OTHERS,0,Pieces,Pieces,SGOT reagent (AST),SGOT reagent (AST),SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,2720,0,2720,2720,Active,,
7TKG005,Gamma GT Reagent Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Gamma GT Reagent Kit,Gamma GT Reagent Kit,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,6697,0,6697,6697,Active,,
7TKH001,Hepatitis B kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Hepatitis B kit,Hepatitis B kit,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,1400,0,1400,1400,Active,,
7TKL001,HDL Cholesterol Reagent Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,HDL Cholesterol Reagent Kit,HDL Cholesterol Reagent Kit,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,21000,0,21000,21000,Active,,
7TKP001,Pregnancy test kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Pregnancy test kit,Pregnancy test kit,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7TKP001A,POTASSIUM TEST KITS,PATHOLOGY,OTHERS,0,Pieces,Pieces,POTASSIUM TEST KITS,POTASSIUM TEST KITS,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7TKP002,Protein Test Kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,Protein Test Kit,Protein Test Kit,NJIMIA PHARMACEUTICALS,N/A,Unknown,,,,,1,,Pathology,2830,0,2830,2830,Active,,
7TKR001,RPR kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,RPR kit,RPR kit,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,2350,0,2350,2350,Active,,
7TKS001,SGPT TEST KIT (ALT),PATHOLOGY,OTHERS,0,Pieces,Pieces,SGPT TEST KIT (ALT),SGPT TEST KIT (ALT),SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,2620,0,2620,2620,Active,,
7TKS004,SODIUM TEST KIT,PATHOLOGY,OTHERS,0,Pieces,Pieces,SODIUM TEST KIT,SODIUM TEST KIT,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7TKT001,TPHA kit,PATHOLOGY,OTHERS,0,Pieces,Pieces,TPHA kit,TPHA kit,SANOFI PASTEUR,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7TKU001,Uric acid,PATHOLOGY,OTHERS,0,Pieces,Pieces,Uric acid,Uric acid,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
7TKU002,UREA TEST KIT,PATHOLOGY,OTHERS,0,Pieces,Pieces,UREA TEST KIT,UREA TEST KIT,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,4250,0,4250,4250,Active,,
7TKU003,Unigold HIV test kit,PATHOLOGY,OTHERS,100,Pieces,Pieces,Unigold HIV test kit,Unigold HIV test kit,GLAXOSMITHKLINE,N/A,Unknown,,,,,1,,Pathology,0,0,0,0,Active,,
A/S,Arm Sling,DRUGS,Surgical,0,Inch,Inch,Arm Sling,Arm Sling,NJIMIA PHARMACEUTICALS,Surgical,Unknown,Arm sling,Other(Specify),Other(Specify),,1,SANOFI PASTEUR,Surgical,0,850,0,0,Active,,
ABZ,ALBENDAZOLE 400MG,DRUGS,Tablets/capsules,0,Mg,Mg,ALBENDAZOLE 400MG,ALBENDAZOLE 400MG,NJIMIA PHARMACEUTICALS,Antihelmintics,Antihelminthetics,Albendazole,Tablets,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,6,50,6,6,Active,,
ACTAL,Actal Tab,DRUGS,Tablets/capsules,0,Pieces,Pieces,Actal Tab,Actal Tab,GLAXOSMITHKLINE,Anti-Acid,Antacid & Anti-ulcer,Magnesium  Trisilicate BP 250mg+ Dried Aluminium Hydroxide Gel BP 125mg,,,,1000,,Drugs,1,5,1,1,Active,,
ACTIFIED  DRY,ACTIFIED DRY COUGH AND COLD,DRUGS,syrup,0,Ml,Ml,ACTIFIED DRY COUGH AND COLD,ACTIFIED DRY COUGH AND COLD,SANOFI PASTEUR,Cough Syrup,Bronchodilator,"TRIPROLIDINE 1.25MG/PSEUDOEPHEDRINE 30MG,GUAIPHENESIN100ML",Syrup,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,365,685,365,365,Active,,
ACTIFIED WET,ACTIFIED WET COUGH AND COLD,DRUGS,Mixture/Syrup,0,Ml,Ml,ACTIFIED WET COUGH AND COLD,ACTIFIED WET COUGH AND COLD,SANOFI PASTEUR,Cough Syrup,Cough Suppresant,"TRIPROLIDINE 1.25MG/PSEUDOEPHEDRINE 30MG,GUAIPHENESIN100ML",Syrup,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,360.54,660,360.54,360.54,Active,,
ACY,ACYCLOVIR 400MG,DRUGS,Tablets/capsules,0,Mg,Mg,ACYCLOVIR 400MG,ACYCLOVIR 400MG,SANOFI PASTEUR,N/A,Anti-viral,ACICLOVIR,Tablets,PO,,10,NJIMIA PHARMACEUTICALS,Drugs,7.7,50,7.7,7.7,Active,,
ADALAT,ADALAT LA 30MG,DRUGS,Tablets/capsules,0,Mg,Mg,ADALAT LA 30MG,ADALAT LA 30MG,GLAXOSMITHKLINE,Anti-Hypertensive,Antihypetensive Drugs,NIFEDIPINE 30MG,Tablets,PO,,30,NJIMIA PHARMACEUTICALS,Drugs,69.4,110,69.4,69.4,Active,,
AERIUS,AERIUS SYRUP 60ML,DRUGS,Mixture/Syrup,0,Ml,Ml,AERIUS SYRUP 60ML,AERIUS SYRUP 60ML,GLAXOSMITHKLINE,Antihistamine,Anti-allergy,Desloratadine,Syrup,PO,,1,GLAXOSMITHKLINE,Drugs,366,670,366,366,Active,,
ALB PES 200MG,Albican V3 200Mg,DRUGS,PESSARIES,0,N/a,N/a,Albican V3 200Mg,Albican V3 200Mg,GLAXOSMITHKLINE,Anti-Fungal Pessaries,Accesories,Clotrimazole,,,,1,,Drugs,0,420,0,0,Active,,
ALB SUR,Albican Cream,DRUGS,Ointment/cream,0,N/a,N/a,Albican Cream,Albican Cream,NJIMIA PHARMACEUTICALS,Anti-Fungal Cream,Accesories,Clotrimazole Cream,Cream,Other(Specify),,1,,Drugs,134.6,250,134.6,134.6,Active,,
AMA-2/500MG,AMARYL M 2MG/500MG,DRUGS,Tablets/capsules,0,Mg,Mg,AMARYL M 2MG/500MG,AMARYL M 2MG/500MG,NJIMIA PHARMACEUTICALS,Oral Hypoglycaemics,Anti-Diabetic,,Tablets,PO,,30,NJIMIA PHARMACEUTICALS,Drugs,41.7,65,41.7,41.7,Active,,
AMBROXOL,AMBROXOL SYRUP,DRUGS,syrup,0,Ml,Ml,AMBROXOL SYRUP,AMBROXOL SYRUP,GLAXOSMITHKLINE,Cough Syrup,Expectorant,AMBROXOL HYDROCHLORIDE,Syrup,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,100,250,100,100,Active,,
AMINOSIDINE,AMINOSIDINE 250MG,DRUGS,Tablets/capsules,0,Mg,Mg,AMINOSIDINE 250MG,AMINOSIDINE 250MG,SANOFI PASTEUR,Antibiotic,Antibacterial,AMINOSIDINE,Tablets,PO,,24,NJIMIA PHARMACEUTICALS,Drugs,17.92,35,17.92,17.92,Active,,
AMLO,NORVASC 10 MGS TABS,DRUGS,Tablets/capsules,0,Mg,Mg,NORVASC 10 MGS TABS,NORVASC 10 MGS TABS,SANOFI PASTEUR,Anti-Hypertensive,Antihypetensive Drugs,Amlodipine,,,,30,SANOFI PASTEUR,Drugs,81.33,132,81.33,81.33,Active,,
AMOX 500,AMOXYCILLIN CAPS 500MG,DRUGS,Tablets/capsules,0,Mg,Mg,AMOXYCILLIN CAPS 500MG,AMOXYCILLIN CAPS 500MG,SANOFI PASTEUR,Antibiotic,Antibacterial,Amoxicillin,CAPSULES,PO,,500,NJIMIA PHARMACEUTICALS,Drugs,2.436,20,2.436,2.436,Active,,
AMOX.500,AMOXIL 500 MGS CAPS,DRUGS,Tablets/capsules,0,Mg,Mg,AMOXIL 500 MGS CAPS,AMOXIL 500 MGS CAPS,GLAXOSMITHKLINE,Antibiotic,Antibacterial,Amoxicillin,Tablets,PO,,1,GLAXOSMITHKLINE,Drugs,18.21,30,18.21,18.21,Active,,
AMOXICLAV,CO-AMOXYCLAV 625MG TABS 15''''''''''''''''S,DRUGS,Tablets/capsules,0,Mg,Mg,CO-AMOXYCLAV 625MG TABS 15''''''''''''''''S,CO-AMOXYCLAV 625MG TABS 15''''''''''''''''S,GLAXOSMITHKLINE,Antibiotic,Antibacterial,Amoxicillin 500Mg+Clavulanic Acid 125Mg,Tablets,PO,,15,NJIMIA PHARMACEUTICALS,Drugs,11.93,30,11.93,11.93,Active,,
AMX. SYP,AMOXIL SYRUP 125 MGS/ 5 ML,DRUGS,syrup,0,Ml,Ml,AMOXIL SYRUP 125 MGS/ 5 ML,AMOXIL SYRUP 125 MGS/ 5 ML,GLAXOSMITHKLINE,Antibiotic,Antibacterial,Amoxicillin,Syrup,PO,,1,GLAXOSMITHKLINE,Drugs,225,460,225,225,Inactive,,
ANDO M/WASH,ANDOLEX-C 200MLS,DRUGS,Mouth Wash,0,Ml,Ml,ANDOLEX-C 200MLS,ANDOLEX-C 200MLS,NJIMIA PHARMACEUTICALS,Antiseptic Mouth Wash,Antiseptic,CHLORHEXIDINE,ORAL SOLUTION,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,1026,1660,1026,1026,Active,,
ANGIZAAR,Angizaar-H,DRUGS,Tablets/capsules,0,Mg,Mg,Angizaar-H,Angizaar-H,NJIMIA PHARMACEUTICALS,Anti-Hypertensive,Antihypetensive Drugs,Losartan Potassium+Hydrochlorothiazide,Tablets,PO,,30,NJIMIA PHARMACEUTICALS,Drugs,14.9,30,14.9,14.9,Active,,
ANTACID,ANTI ACID TABS,DRUGS,Tablets/capsules,0,Mg,Mg,ANTI ACID TABS,ANTI ACID TABS,GLAXOSMITHKLINE,Anti-Acid,Antacid & Anti-ulcer,ANTACID TABS,,,,1,GLAXOSMITHKLINE,Drugs,0,5,0,0,Active,,
ANU,ANUSOL OINTMENT,DRUGS,Ointment/cream,0,Ml,Ml,ANUSOL OINTMENT,ANUSOL OINTMENT,SANOFI PASTEUR,Anti-Inflammatory,Analgesic,BISMUTH SUBGALLATE/OXIDE/ZINC,Ointment,Topical,,1,GLAXOSMITHKLINE,Drugs,175,370,175,175,Active,,
ART,ARTESUNATE INJ 60MG/VIAL,DRUGS,Injection,0,Mg,Mg,ARTESUNATE INJ 60MG/VIAL,ARTESUNATE INJ 60MG/VIAL,SANOFI PASTEUR,Antimalaria,Antimalarials,ARTESUN INJECTION,Injection,IM,,1,NJIMIA PHARMACEUTICALS,Drugs,208,450,208,208,Active,,
ART INJ,ARTEMETHER INJ 80MG,DRUGS,Injection,0,Mg,Mg,ARTEMETHER INJ 80MG,ARTEMETHER INJ 80MG,SANOFI PASTEUR,Anti-Malaria,Antimalarials,Artemether,Injection,IM,,6,NJIMIA PHARMACEUTICALS,Drugs,149,350,149,149,Active,,
ART.INJG,ARTESIANE 80mg/ml injection,DRUGS,Injection,0,Mg,Mg,ARTESIANE 80mg/ml injection,ARTESIANE 80mg/ml injection,GLAXOSMITHKLINE,Antimalaria,Anti-parasitic,Artemether,Injection,IM,,1,GLAXOSMITHKLINE,Drugs,168,380,168,168,Active,,
ASC SYR,Ascoril Syrup 200Mls,DRUGS,Suspension,0,N/a,N/a,Ascoril Syrup 200Mls,Ascoril Syrup 200Mls,GLAXOSMITHKLINE,Cough Syrup,Accesories,Guaifenesin 100Mg+Bromhexine Hcl 4Mg+Salbutamol 2Mg,Syrup,PO,,1,KAM PHARMACY,Drugs,290,555,290,290,Active,,
ASCO,ASCORBIC ACID 200MG TAB,DRUGS,Tablets/capsules,0,Mg,Mg,ASCORBIC ACID 200MG TAB,ASCORBIC ACID 200MG TAB,GLAXOSMITHKLINE,N/A,Non - Specific,Ascorbic Acid,Tablets,PO,,1000,NJIMIA PHARMACEUTICALS,Drugs,1.076,5,1.076,1.076,Active,,
ASCORIL D,ASCORIL D 100ML SYRUP,DRUGS,Mixture/Syrup,0,Ml,Ml,ASCORIL D 100ML SYRUP,ASCORIL D 100ML SYRUP,NJIMIA PHARMACEUTICALS,Cough Syrup,Cough Suppresant,DEXTROMETHORPHAN HYDROCHLORIDE,Syrup,PO,,1,SANOFI PASTEUR,Drugs,260,510,260,260,Active,,
ASP.CARDIO,ASPRIN CARDIO 100 MGS TABLETS,DRUGS,Tablets/capsules,0,Mg,Mg,ASPRIN CARDIO 100 MGS TABLETS,ASPRIN CARDIO 100 MGS TABLETS,NJIMIA PHARMACEUTICALS,Analgesic,Analgesic,Acetylsalicylic Acid,Tablets,PO,,30,GLAXOSMITHKLINE,Drugs,5.782,15,5.782,5.782,Active,,
ATACAND,ATACAND 16MG,DRUGS,Tablets/capsules,0,Mg,Mg,ATACAND 16MG,ATACAND 16MG,GLAXOSMITHKLINE,Anti-Hypertensive,Antihypetensive Drugs,CANDESARTAN CILEXETIL,Tablets,PO,,28,NJIMIA PHARMACEUTICALS,Drugs,27.5,150,27.5,27.5,Active,,
AUG SYR,Augmentin Syrup 457Mg,DRUGS,syrup,0,Ml,Ml,Augmentin Syrup 457Mg,Augmentin Syrup 457Mg,SANOFI PASTEUR,Antibiotic,Accesories,Amoxicillin 400Mg+Clavulanic Acid 57Mg,Suspension,PO,,1,GLAXOSMITHKLINE,Drugs,804,1330,804,804,Inactive,,
AUG.625,Augmentin 625mg tablets,DRUGS,Tablets/capsules,0,Mg,Mg,Augmentin 625mg tablets,Augmentin 625mg tablets,SANOFI PASTEUR,Antibiotic,Antibacterial,Amoxicillin 500Mg+Clavulanic Acid 125Mg,Tablets,PO,,14,GLAXOSMITHKLINE,Drugs,68,100,68,68,Active,,
AUGMENTIN ES,AUGMENTIN ES susp 100ml,DRUGS,Suspension,0,Ml,Ml,AUGMENTIN ES susp 100ml,AUGMENTIN ES susp 100ml,SANOFI PASTEUR,Antibiotic,Antibacterial,amoxicillin trihydrate/potassium clavulanate 642.9mg/5ml,Suspension,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,1642,2600,1642,1642,Active,,
Aut SUR Pc,Autoclave Tape Pc,DRUGS,Surgical,0,N/a,N/a,Autoclave Tape Pc,Autoclave Tape Pc,GLAXOSMITHKLINE,Surgical,Accesories,,,,,1,,Drugs,0,0,0,0,Active,,
AVAMYS,AVAMYS NASAL SPRAY 27.5 MCGS,DRUGS,Spray,0,Mcg,Mcg,AVAMYS NASAL SPRAY 27.5 MCGS,AVAMYS NASAL SPRAY 27.5 MCGS,GLAXOSMITHKLINE,Nasal Decongestants,Allergic Drugs,FLUTICASONE FUROATE,SPRAY,Topical,,1,GLAXOSMITHKLINE,Drugs,690,1400,690,690,Active,,
AZIWOK-500,AZITHROMYCIN 500MG TABS,DRUGS,Tablets/capsules,0,Mg,Mg,AZITHROMYCIN 500MG TABS,AZITHROMYCIN 500MG TABS,GLAXOSMITHKLINE,Antibiotic,Antibacterial,Azithromycin,Tablets,PO,,3,NJIMIA PHARMACEUTICALS,Drugs,13.33,100,13.33,13.33,Active,,
BAC SUR,Bactroban Ointment,DRUGS,Ointment/cream,0,N/a,N/a,Bactroban Ointment,Bactroban Ointment,NJIMIA PHARMACEUTICALS,Antibiotic Ointment,Antibacterial,Mupiracin 2%,,,,1,,Drugs,528,750,528,528,Active,,
BEN- CHESTY,BENYLIN CHESTY syrup,DRUGS,syrup,0,Bottle,Bottle,BENYLIN CHESTY syrup,BENYLIN CHESTY syrup,NJIMIA PHARMACEUTICALS,Cough Syrup,Cough Suppresant,Ammonium Cl-125Mg+Diphenhydramine Hcl 12.5Mg,Syrup,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,326,450,326,326,Active,,
BEN SYR,Benyllin-Dry Cough 100Mls,DRUGS,Suspension,0,N/a,N/a,Benyllin-Dry Cough 100Mls,Benyllin-Dry Cough 100Mls,GLAXOSMITHKLINE,Cough Syrup,Accesories,,,,,1,,Drugs,393,590,393,393,Inactive,,
BEN SYR ORG,Benyllin-Original 100Mls,DRUGS,Suspension,,N/a,N/a,Benyllin-Original 100Mls,Benyllin-Original 100Mls,SANOFI PASTEUR,Cough Syrup,Accesories,Ammonium Cl-125Mg+Diphenhydramine Hcl 12.5Mg,Syrup,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,360,700,360,360,Active,,
BEN. CODEIN,BENYLIN WITH CODEIN,DRUGS,Mixture/Syrup,0,Ml,Ml,BENYLIN WITH CODEIN,BENYLIN WITH CODEIN,SANOFI PASTEUR,Cough Syrup,Cough Suppresant,Ammonium Cl-125Mg+Diphenhydramine Hcl 12.5Mg,,,,1,,Drugs,326,550,326,326,Active,,
BENZATHINE P,BENZATHINE PENICILLIN 2.4 MEGA,DRUGS,Injection,0,Mg,Mg,BENZATHINE PENICILLIN 2.4 MEGA,BENZATHINE PENICILLIN 2.4 MEGA,SANOFI PASTEUR,Antibiotic,Antibacterial,PENICILLIN BENZATHINE,Injection,IV,,1,NJIMIA PHARMACEUTICALS,Drugs,24,200,24,24,Active,,
BET.SOL.125ML,Betadine Solution 125mls,SURGICALS,Solution,0,Ml,Ml,Betadine Solution 125mls,Betadine Solution 125mls,GLAXOSMITHKLINE,Surgical,Antiseptic,10% POVIDONE IODINE,SOLUTION,Topical,,1,,Drugs,275,400,275,275,Active,,
BETA CRM,Betason Cream.,DRUGS,Surgical,0,N/a,N/a,Betason Cream.,Betason Cream.,GLAXOSMITHKLINE,Steroid Cream,Accesories,Betamethasone cream,Cream,Topical,,1,GLAXOSMITHKLINE,Drugs,55,150,55,55,Active,,
BETA MOU 250ML,Betadine M/Wash 250 ml,DRUGS,Mouth Wash,0,Ml,Ml,Betadine M/Wash 250 ml,Betadine M/Wash 250 ml,GLAXOSMITHKLINE,Antiseptic Mouth Wash,Antiseptic,1% Povidone Iodine,,,,1,GLAXOSMITHKLINE,Drugs,650,1400,650,650,Active,,
BETA OINT,Betason Ointment,DRUGS,Surgical,0,N/a,N/a,Betason Ointment,Betason Ointment,NJIMIA PHARMACEUTICALS,Steroid Ointment,Accesories,betamethasone ointment,Ointment,Topical,,1,,Drugs,28,85,28,28,Active,,
BLOOD LANCET,BLOOD LANCETS,SURGICALS,OTHERS,0,N/a,N/a,BLOOD LANCETS,BLOOD LANCETS,NJIMIA PHARMACEUTICALS,N/A,Accesories,accucheck,Other(Specify),Other(Specify),,100,GLAXOSMITHKLINE,Surgical,200,15,200,200,Active,,
BON,BONNISAN SYRUP,DRUGS,Mixture/Syrup,0,Ml,Ml,BONNISAN SYRUP,BONNISAN SYRUP,GLAXOSMITHKLINE,N/A,Non - Specific,BONNISAN,Other(Specify),PO,,1,NJIMIA PHARMACEUTICALS,Drugs,350,550,350,350,Active,,
BONJ 15GM,BONJELA 15MG,DRUGS,Gel,0,G,G,BONJELA 15MG,BONJELA 15MG,SANOFI PASTEUR,Anti-Inflamatory Gel,Analgesic,Choline salicylate,Gel,PO,,1,NJIMIA PHARMACEUTICALS,Drugs,472.5,750,472.5,472.5,Active,,
